they | they | person:Pronoun | arrested | arrest | Michael Stewart | Michael Stewart | person:Stanford
His career | career | activity:WordNet | reached eight months ago | reach month | its zenith | zenith | location:WordNet
His career | career | activity:WordNet | reached its zenith eight months ago during | reach zenith month during | diplomatic efforts to promote a negotiated settlement in South Africa | South Africa | location:Stanford
[ The political analysts | [ |  | said | say | Mr. Worrall | Mr. Worrall | person:Stanford
Mr. Worrall | Mr. Worrall | person:Stanford | recently held | hold | informal talks | talk | 
Mr. Worrall | Mr. Worrall | person:Stanford | be a former member of | be member of | Parliament | Parliament | organization:Stanford
Mr. Worrall | Mr. Worrall | person:Stanford | would not specify | specify | his plans | plan | 
a green windbreaker | windbreaker |  | was standing among | be stand among | the plastic coffee cups | cup | 
a green windbreaker | windbreaker |  | be shards of | be shard of | glass | glass | 
An intrepid figure | figure |  | heaving shovelfuls of garbage into | heave shovelful of garbage into | a trash basket | basket | 
you | you | person:Pronoun | become used to | become use to | it | it | 
Ms. Pabon and Carlen Sanderson | Ms. Pabon | person:Stanford | be the first two female sanitation workers in | be sanitation worker in | the New York City Sanitation Department | New York City Sanitation Department | organization:Stanford,location:Stanford
Ms. Pabon and Carlen Sanderson | Ms. Pabon | person:Stanford | have now completed every measure , they seem to be doing well . Differences in Occupations | complete measure , seem to be do . Differences in Occupations | five months of their one-year probation | probation | time_period:WordNet
Ms. Pabon and Carlen Sanderson | Ms. Pabon | person:Stanford | have now completed five months of their one-year probation | complete month of probation | Differences | Differences | 
I | I | person:Pronoun | give them | give | a 10 | 10 | number:NUM
John Ferrugio | John Ferrugio | person:Stanford | has been a sanitation worker for | be sanitation worker for | 22 years | year | time_period:WordNet
John Ferrugio | John Ferrugio | person:Stanford | has been a sanitation worker in | be sanitation worker in | a typical comment | comment | 
the men | man | person:WordNet | work with | work with | them | they | person:Pronoun
The acceptance | acceptance |  | is apparently in | be in | stark contrast | contrast | 
the hostility and harassment | hostility |  | be directed against | be direct against | some female firefighters | firefighter | person:WordNet
Others | Others |  | have found | find | urine | urine | substance:WordNet
workers | worker | person:WordNet | do not find | find | themselves | themselves | 
workers | worker | person:WordNet | do not find themselves in | find in | the life-threatening situations that firefighters face | situation | 
The Uniformed Sanitationmen 's Association | Association | organization:Stanford | had originally challenged Recently | challenge | the physical test | test | 
The New York Supreme Court | New York Supreme Court | organization:Stanford | found | find | the test valid | test | 
The Uniformed Sanitationmen 's Association | Association | organization:Stanford | affirmed | affirm | the decision | decision | 
an appellate court | court |  | affirmed | affirm | the decision | decision | 
the Court of Appeals | Court | organization:Stanford | refused Jim Grossman to hear | refuse Jim Grossman to hear | the case | case | 
the Court of Appeals | Court | organization:Stanford | refused | refuse | Jim Grossman | Jim Grossman | person:Stanford
the Court of Appeals | Court | organization:Stanford | to hear | to hear | the case | case | 
the Court of Appeals | Court | organization:Stanford | has dropped | drop | its challenge | challenge | 
the union | union | organization:WordNet | has dropped | drop | its challenge | challenge | 
The union | union | organization:WordNet | never objected to | object to | women coming on the job | woman | person:WordNet
women | woman | person:WordNet | coming on | come on | the job | job | activity:WordNet
The challenge | challenge |  | was based on | be base on | the union 's strong belief | belief | 
everyone | everyone |  | getting | get | 100 percent | percent | percent:Stanford
The test | test |  | includes tossing | include toss | 147 garbage bags weighing a total of 2,975 pounds into trash bins | bin | 
The test | test |  | includes tossing 147 garbage bags weighing a total of 2,975 pounds into trash bins in | include toss garbage bag weigh total of pound into trash bin in | 27 minutes | minute | time_unit:WordNet
The test | test |  | includes lifting | include lift | About 20 women who took the test had taken a special preparatory course | woman | person:WordNet
147 garbage bags | bag |  | weighing a total of 2,975 pounds into | weigh total of pound into | trash bins | bin | 
the test | test |  | had taken | take | a special preparatory course arranged and financed by the Center for Women in Government , a nonprofit group | Center Women | organization:Stanford
a nonprofit group | group |  | be affiliated with | be affiliate with | the State University of New York | State University | organization:Stanford
The department | department | organization:WordNet | loses about 500 workers | lose worker | a year | year | time_period:WordNet
Mr. Turso | Mr. Turso | person:Stanford | said in | say in | This spring new people will be selected from the list by lottery and probably four or five of these will be women , Mr. Turso said | Mr. Turso | person:Stanford
new people | people | person:People | will be selected from | be select from | the list | list | 
new people | people | person:People | will be selected by | be select by | lottery | lottery | 
Five sanitation districts | district | location:WordNet | to accept | to accept | women | woman | person:WordNet
Five sanitation districts | district | location:WordNet | is making | be make | plans to construct separate locker and shower areas in six more of the 59 sanitation garages in the city | area | location:WordNet
the department | department | organization:WordNet | is making | be make | plans to construct separate locker and shower areas in six more of the 59 sanitation garages in the city | area | location:WordNet
The men | man | person:WordNet | speak of | speak of | their new female colleagues | colleague | person:WordNet
the department | department | organization:WordNet | would show So far | show | favoritism | favoritism | 
they | they | person:Pronoun | actually go out on | go out on | trucks | truck | 
they | they | person:Pronoun | actually go out to collect | go out to collect | the garbage which can involve bringing in 8 to 10 tons of refuse a day | garbage | substance:WordNet
they | they | person:Pronoun | operated | operate | salt spreaders | spreader | 
they | they | person:Pronoun | drove | drive | pickup trucks | truck | 
they | they | person:Pronoun | drove pickup trucks with | drive pickup truck with | plows | plow | 
many men | man | person:WordNet | went back recently to | go to | the accounting office where she formerly worked | office | structure:WordNet
Her friends | friend | person:WordNet | told | tell | her | she | person:Pronoun
I | I | person:Pronoun | love | love | this job | job | activity:WordNet
The rain | rain |  | does n't bother | do bother | me | I | person:Pronoun
The rain | rain |  | love | love | the people | people | person:People
The rain | rain |  | love the people on | love people on | the street | street | 
I | I | person:Pronoun | love | love | the people | people | person:People
I | I | person:Pronoun | love the people on | love people on | the street | street | 
they | they | person:Pronoun | yell at | yell at | me | I | person:Pronoun
they | they | person:Pronoun | had received | receive | reports | report | 
Terry Waite | Terry Waite | person:Stanford | had been taken | be take | captive | captive | person:WordNet
Terry Waite | Terry Waite | person:Stanford | had been taken captive in | be take captive in | Lebanon | Lebanon | location:Stanford
The officials | official | person:WordNet | said of | say of | they | they | person:Pronoun
they | they | person:Pronoun | be proof of | be proof of | Mr. Waite 's status | status | 
which group | group |  | would be detaining | be detain | Mr. Waite or why | Mr. Waite | person:Stanford
Reports | Reports |  | also left | leave | questions | question | 
Reports | Reports |  | also left about | leave about | Mr. Waite 's status | status | 
A report | report |  | quoted | quote | diplomatic sources | source | location:WordNet
Mr. Waite | Mr. Waite | person:Stanford | was being detained by | be be detain by | forces of the Party of God | force | 
Mr. Waite | Mr. Waite | person:Stanford | had been seen in | be see in | a three-car motorcade traveling in the Bekaa region in eastern Lebanon | Lebanon | location:Stanford
a three-car motorcade | motorcade |  | traveling in | travel in | the Bekaa region | region | location:WordNet
a three-car motorcade | motorcade |  | traveling in | travel in | eastern Lebanon | Lebanon | location:Stanford
Mr. Waite | Mr. Waite | person:Stanford | be a representative of | be representative of | the Archbishop of Canterbury | Archbishop | 
Mr. Waite | Mr. Waite | person:Stanford | has been involved in | be involve in | delicate negotiations | negotiation | 
He | He | person:Pronoun | began | begin | his latest trip | trip | 
He | He | person:Pronoun | began his latest trip to the city in | begin trip to city in | this month | month | time_unit:Stanford,time_period:WordNet
he | he | person:Pronoun | disappeared to begin | disappear to begin | negotiations | negotiation | 
no direct contact with Mr. Waite since Jan . 20 , when he disappeared to begin negotiations for the release of two Americans , Terry A. Anderson , the chief Middle East correspondent for The Associated Press , and Thomas M. Sutherland | contact |  | be dean of | be dean of | agriculture | agriculture | 
no direct contact with Mr. Waite since Jan . 20 , when he disappeared to begin negotiations for the release of two Americans , Terry A. Anderson , the chief Middle East correspondent for The Associated Press , and Thomas M. Sutherland | contact |  | be dean of agriculture at | be dean of agriculture at | the American University of Beirut | American University | organization:Stanford
a succession of Westerners | succession |  | had been taken hostage by | be take hostage by | Shiite Moslem groups | group | 
Mr. Waite | Mr. Waite | person:Stanford | is being detained against | be be detain against | his will | will | 
Mr. Waite | Mr. Waite | person:Stanford | had been trying to establish | be try to establish | his independence and credibility | independence | 
Mr. Waite | Mr. Waite | person:Stanford | had been trying to establish credibility as | be try to establish credibility as | a negotiator | negotiator | person:WordNet
Mr. Waite | Mr. Waite | person:Stanford | had been trying to establish his independence as | be try to establish independence as | a negotiator | negotiator | person:WordNet
Mr. Waite | Mr. Waite | person:Stanford | to establish | to establish | his independence and credibility | independence | 
he | he | person:Pronoun | was merely used as | be use as | a cover | cover | 
the official | official | person:WordNet | said | say | He | He | person:Pronoun
Reuters | Reuters | organization:Stanford | quoted | quote | a senior Moslem militia official | official | person:WordNet
He | He | person:Pronoun | has been added to | be add to | the list of hostages | list | 
a spokesman | spokesman | person:WordNet | told | tell | Reuters | Reuters | organization:Stanford
the church | church | organization:WordNet | had ---- # 5 Killed by Beirut Car Bomb BEIRUT , Jan . 30 ( AP ) - A car bomb exploded today at a crowded shopping center in predominantly Christian East Beirut as a school bus passed nearby | ---- # Killed by Beirut Car Bomb BEIRUT , Jan . ( AP ) - car bomb explode today at shopping center in Christian East Beirut as school bus pass | no information | information | 
the church | church | organization:WordNet | had been assured by | be assure by | reliable sources | source | location:WordNet
Beirut Car Bomb BEIRUT | Beirut Car Bomb BEIRUT | location:Stanford | exploded in | explode in | today | today | 
Beirut Car Bomb BEIRUT | Beirut Car Bomb BEIRUT | location:Stanford | exploded at | explode at | a crowded shopping center | center | location:WordNet
Beirut Car Bomb BEIRUT | Beirut Car Bomb BEIRUT | location:Stanford | exploded as | explode as | a school bus passed nearby | bus | 
A car bomb | bomb | device:WordNet | exploded in | explode in | today | today | 
A car bomb | bomb | device:WordNet | exploded at | explode at | a crowded shopping center | center | location:WordNet
A car bomb | bomb | device:WordNet | exploded as | explode as | a school bus passed nearby | bus | 
5 people | people | person:People | had been killed including | be kill including | 2 children | child | person:WordNet
Three youngsters | youngster | person:WordNet | were hospitalized in | be hospitalize in | critical condition | condition | 
It | It |  | was | be | the second car bomb | bomb | device:WordNet
It | It |  | was the second car bomb in | be car bomb in | East Beirut | East Beirut | location:Stanford
An explosion Jan . 7 | Jan | time_unit:Stanford | killed | kill | 4 | 4 | number:NUM
An explosion Jan . 7 | Jan | time_unit:Stanford | wounded | wound | 36 | 36 | number:NUM
yesterday | yesterday | time_unit:WordNet | be scheduled in | be schedule in | May 4 | May | time_unit:Stanford
yesterday | yesterday | time_unit:WordNet | be scheduled for | be schedule for | the trial of Robert E. Chambers Jr. | trial | activity:WordNet
Jennifer D. Levin | Jennifer D. Levin | person:Stanford | be last summer in | be summer in | Central Park | Central Park | location:Stanford
Mr. Chambers | Mr. Chambers | person:Stanford | has said | say | he | he | person:Pronoun
he | he | person:Pronoun | killed accidentally | kill | Miss Levin | Miss Levin | person:Stanford
two | two | number:NUM | were having | be have | sex | sex | 
The justice | justice |  | ordered | order | the prosecutors | prosecutor | person:WordNet
The justice | justice |  | ordered the prosecutors to give | order prosecutor to give | the court | court | 
The justice | justice |  | ordered the prosecutors in | order prosecutor in | This week | week | time_period:WordNet
The justice | justice |  | to give | to give | the court | court | 
the diary | diary |  | could not be used by | be use by | the defense | defense | 
the prosecutors | prosecutor | person:WordNet | had copied | copy | about 25 of the nearly 100 pages | page | substance:WordNet
The diary and copies | diary |  | are in | be in | a safe-deposit box | box | 
The diary and copies | diary |  | are in | be in | the event of an appeal | event | 
the Atlanta Hawks | Atlanta Hawks | location:Stanford,organization:Stanford | beat | beat | the Knicks | Knicks | organization:Stanford,location:Stanford
The Hawks | Hawks |  | broke away from an 81-81 tie outscoring New York , 12-3 to start | break from tie New York , to start | the fourth period | period | time_period:WordNet
The Hawks | Hawks |  | broke away from an 81-81 tie outscoring New York , 12-3 | break from tie New York , | Gus Williams | Gus Williams | organization:Stanford,person:Stanford
The Hawks | Hawks |  | to start | to start | the fourth period | period | time_period:WordNet
Williams 's jumper | jumper | person:WordNet | gave Atlanta | give Atlanta | a 9-point lead | lead | 
the Knicks | Knicks | organization:Stanford | pulled to | pull to | 97-94 | 97-94 | number:NUM
the Knicks | Knicks | organization:Stanford | pulled on | pull on | a 3-point shot | shot | 
Both teams | team | organization:WordNet | went through | go through | a cold spell | spell | 
Both teams | team | organization:WordNet | went for | go for | almost three minutes | minute | time_unit:WordNet
Tree Rollins 's tip-in | tip-in | activity:WordNet | gave the Hawks | give Hawks | a 99-94 lead | lead | 
Patrick Ewing 's basket | basket |  | cut | cut | the margin | margin | 
Patrick Ewing 's basket | basket |  | cut the margin to | cut margin to | 99-96 | 99-96 | number:NUM
Patrick Ewing 's basket | basket |  | cut the margin with | cut margin with | 2:20 | 2:20 | number:NUM
Atlanta 's Cliff Levingston | Cliff Levingston | person:Stanford | hit | hit | a free throw | throw | 
2:40 | 2:40 | number:NUM | followed with | follow with | a layup that had the Knicks within 100-98 with 1:05 | layup | activity:WordNet
Gerald Wilkins | Gerald Wilkins | person:Stanford | followed with | follow with | a layup that had the Knicks within 100-98 with 1:05 | layup | activity:WordNet
a layup | layup | activity:WordNet | had the Knicks within | Knicks within | 100-98 | 100-98 | number:NUM
a layup | layup | activity:WordNet | had the Knicks with | Knicks with | 1:05 to play | 1:05 | number:NUM
two free | free |  | throws with | throw with | 50 seconds left | seconds | time_unit:WordNet
two free | free |  | had a 3-point play with | play with | 25 seconds remaining | seconds | time_unit:WordNet
Levingston | Levingston | person:Stanford | had a 3-point play with | play with | 25 seconds remaining | seconds | time_unit:WordNet
Kevin Willis | Kevin Willis | person:Stanford | added | add | 15 points | point | 
Kevin Willis | Kevin Willis | person:Stanford | added 15 points for Atlanta | add point for Atlanta | Gerald Henderson | Gerald Henderson | person:Stanford
Gerald | Gerald | person:Stanford | Wilkins scored | Wilkins score | 23 points | point | 
Gerald Henderson | Gerald Henderson | person:Stanford | be Ewing 16 for | be Ewing for | New York | New York | location:Stanford
Their best offense | offense | activity:WordNet | is off | be off | a missed shot | shot | 
Their best offense | offense | activity:WordNet | hit very hard | hit | the offensive boards | board | organization:WordNet
they | they | person:Pronoun | hit very hard | hit | the offensive boards | board | organization:WordNet
Coach Bob Hill | Coach Bob Hill | person:Stanford | said after | say after | the road record of his Knicks | record | 
60 rebounds | rebound |  | be half of | be half of | them | they | person:Pronoun
60 rebounds | rebound |  | be half of them off | be half of off | their offensive boards | board | organization:WordNet
We | We | person:Pronoun | asked | ask | everybody | everybody | 
We | We | person:Pronoun | asked everybody on | ask everybody on | the team | team | organization:WordNet
Hill | Hill | person:Stanford | said | say | the Knicks | Knicks | person:Stanford,organization:Stanford
Hill | Hill | person:Stanford | said | say | We | We | person:Pronoun
We | We | person:Pronoun | played close | play | them | they | person:Pronoun
Atlanta | Atlanta | location:Stanford | built | build | a 19-point lead | lead | 
Atlanta | Atlanta | location:Stanford | built a 19-point lead in | build lead in | the first quarter | quarter | time_unit:Stanford
Wilkins | Wilkins | person:Stanford | scored | score | 5 points | point | 
Wilkins | Wilkins | person:Stanford | scored 5 points in | score point in | a 13-0 run | run | 
Atlanta | Atlanta | location:Stanford | then went ahead by | go by | 36-17 | 36-17 | number:NUM
Atlanta | Atlanta | location:Stanford | then went ahead at | go at | the start of the second quarter | start | 
Atlanta | Atlanta | location:Stanford | then went ahead to | go to | the start of the second quarter | start | 
New York | New York | location:Stanford | then began | begin | its comeback | comeback | 
New York | New York | location:Stanford | then began its comeback cutting | begin comeback cut | the deficit | deficit | 
New York | New York | location:Stanford | then began its comeback cutting the deficit to | begin comeback cut deficit to | 58-48 | 58-48 | number:NUM
New York | New York | location:Stanford | then began its comeback cutting the deficit at | begin comeback cut deficit at | halftime and outscoring Atlanta , 33-23 | halftime | 
New York | New York | location:Stanford | then began its comeback in | begin comeback in | the third period | period | time_period:WordNet
She | She | person:Pronoun | had cataracts in | cataract in | both eyes | eye | organ:WordNet
She | She | person:Pronoun | had cataracts | cataract | both eyes | eye | organ:WordNet
The outcome of the operation | outcome |  | will not be known for | be know for | a few days | day | time_unit:WordNet
a Federal aid program | program |  | provided more than half the money for | provide than half money for | some municipal budgets | budget | 
The end of a Federal aid program | end | location:WordNet | has caused | cause | a severe financial crisis | crisis | 
The end of a Federal aid program | end | location:WordNet | has caused a severe financial crisis in | cause crisis in | small and medium-size cities | city | location:WordNet
The elimination of the program of general revenue sharing | elimination |  | has prompted | prompt | layoffs , curtailment of police protection and other services , and higher taxes and user fees | curtailment | 
They | They | person:Pronoun | 're sitting there with | be sit with | their heads | head | 
Susan White | Susan White | person:Stanford | be legislative assistant for | be assistant for | the National Association of Counties | National Association | organization:Stanford
Revenue sharing which started in 1972 | sharing |  | be distributed $ 4.5 billion to | be distribute $ to | 39,000 municipalities | 39,000 | number:NUM
It | It |  | affected | affect | local governments | government | organization:WordNet
it | it |  | was | be | the only Federal disbursement | disbursement | 
it | it |  | was the only Federal disbursement without | be Federal disbursement without | restrictions | restriction | 
it | it |  | was also | be | a small but key component of the budgets of middle | component | 
it | it |  | was also a small but key component of | be component of | the budgets of middle | budget | 
the effects of the loss | effect | effect:WordNet | are particularly severe in | be in | rural and economically depressed areas | area | location:WordNet
the cuts | cut |  | are being felt from | be be feel from | coast | coast | 
* Pacific County | * |  | has laid off | lay off | 6 of the 10 deputies | deputy | person:WordNet
Mayor W. Wilson Goode | Mayor W. Wilson Goode | person:Stanford | proposed | propose | his budget | budget | 
Mayor W. Wilson Goode | Mayor W. Wilson Goode | person:Stanford | proposed his budget in | propose budget in | last March | March | time_unit:Stanford
the freeze | freeze |  | was announced in | be announce in | two days | day | time_unit:WordNet
the freeze | freeze |  | was announced after | be announce after | Christmas | Christmas | person:Stanford
New York | New York | location:Stanford | would have to make | to make | trims | trim | 
New York | New York | location:Stanford | to make | to make | trims | trim | 
Mayor Koch | Mayor Koch | person:Stanford | recently announced | announce | a budget that does not call for any major cutbacks | budget | 
the effects of lost aid | effect | effect:WordNet | are heightened because of | be heighten because of | rising bills feeding the hungry , training the unemployed , helping the aged and rebuilding roads and bridges | bill | 
revenue-sharing money | revenue-sharing |  | went to | go to | health and human services programs , garbage removal and the library | health | 
First Selectman Hanna K. Clements | First Selectman Hanna K. Clements | person:Stanford | said of | say of | it | it | 
it | it |  | would take | take | a 7 percent tax increase to make up the $ 463,200 | increase | 
The effect | effect | effect:WordNet | will be | be | adequate muncipal services | service | activity:WordNet
Municipalities | Municipalities | location:WordNet | would have to raise | to raise | taxes 22.2 percent | percent | percent:Stanford
Municipalities | Municipalities | location:WordNet | to raise | to raise | taxes 22.2 percent | percent | percent:Stanford
the United States Treasury Department | United States Treasury Department | organization:Stanford | would have to raise | to raise | taxes 22.3 percent | percent | percent:Stanford
Arkansas communities | community |  | would have to raise | to raise | taxes 22.3 percent | percent | percent:Stanford
the United States Treasury Department | United States Treasury Department | organization:Stanford | to raise | to raise | taxes 22.3 percent | percent | percent:Stanford
Arkansas communities | community |  | to raise | to raise | taxes 22.3 percent | percent | percent:Stanford
municipalities | municipality | location:WordNet | get | get | most of their money | money | 
municipalities | municipality | location:WordNet | get most of their money from | get of money from | property and sales taxes | property | 
local tax increases | increase |  | take | take | the biggest bite | bite | 
local tax increases | increase |  | take the biggest bite from | take bite from | middle - and lower-income families who pay a disproportionate share of such taxes | family | organization:WordNet
the effect | effect | effect:WordNet | negates | negate | benefits | benefit | 
the effect | effect | effect:WordNet | creates | create | a more regressive tax system | system | 
the Federal Government | Federal Government | organization:Stanford | distributed | distribute | revenue-sharing funds | revenue-sharing | 
more money | money |  | was given Thus on | be give on | a per capita basis | basis | 
more money | money |  | was given Thus in | be give in | a per capita basis | basis | 
more money | money |  | was given Thus to | be give to | poor areas | area | location:WordNet
more money | money |  | was given Thus at | be give at | the individual level | level | 
the end of the program | end | location:WordNet | has probably hurt | hurt | poor people | people | person:People
The program | program |  | became Too | become | the center of controversy because some share of the money went to communities with little or no demonstrable need | center | location:WordNet
The program | program |  | became the center Too of | become center of | controversy | controversy | 
The program | program |  | became the center of controversy Too in | become center of controversy in | part | part | 
The program | program |  | became the center of controversy Too of | become center of controversy of | part | part | 
some share of the money | share |  | went to | go to | communities | community | 
money | money |  | going to | go to | places | place | location:WordNet
a welfare program | program |  | gets | get | less money | money | 
Beverly Hills | Beverly Hills | location:Stanford,person:Stanford | should n't get | get | a nickel | nickel | substance:WordNet
The only question | question |  | is should throw out | be throw out | the baby | baby | person:WordNet
The only question | question |  | is should throw the baby out with | be throw baby out with | the bathwater | bathwater | 
the program which had survived several other attempts at elimination | program |  | was gradually ended after | be end after | 14 years and $ 85 billion dollars | year | time_period:WordNet
Municipalities | Municipalities | location:WordNet | had used | use | the money | money | 
Municipalities | Municipalities | location:WordNet | had used the money for | use money for | anything | anything | 
Los Angeles County | Los Angeles County | location:Stanford | used | use | its $ 80 million share | share | 
Los Angeles County | Los Angeles County | location:Stanford | used its $ 80 million share to finance | use $ share to finance | health care | care | activity:WordNet
Los Angeles County | Los Angeles County | location:Stanford | to finance | to finance | health care | care | activity:WordNet
Buffalo | Buffalo |  | used | use | its allocation | allocation | 
Buffalo | Buffalo |  | used its allocation to improve | use allocation to improve | street lighting | lighting | 
Buffalo | Buffalo |  | used its allocation among | use allocation among | other things | thing | 
Buffalo | Buffalo |  | to improve | to improve | street lighting | lighting | 
Moonachie | Moonachie | person:Stanford | be a blue-collar community of | be community of | 2,800 people | 2,800 | number:NUM
Moonachie | Moonachie | person:Stanford | received about $ 43,000 in Federal money in | receive about $ in Federal money in | last year | year | time_period:WordNet
John Petersen | John Petersen | person:Stanford | be senior director of | be director of | the Government Finance Officers Association | Government Finance Officers Association | organization:Stanford
John Petersen | John Petersen | person:Stanford | said of | say of | the final year 's total | total | 
you | you | person:Pronoun | see | see | serious , hidden problems | problem | 
You | You | person:Pronoun | can make up | make up | it | it | 
A survey | survey | activity:WordNet | be released in | be release in | December | December | time_unit:Stanford
A survey | survey | activity:WordNet | be released by | be release by | the National League of Cities | National League | organization:Stanford
A survey released in December by the National League of Cities | survey | activity:WordNet | found | find | 37 percent of the city officials | official | person:WordNet
A survey released in December by the National League of Cities | survey | activity:WordNet | found | find | 55 percent | percent | percent:Stanford
37 percent of the city officials | official | person:WordNet | said | say | Only 7 percent of the respondents | respondent | person:WordNet
they | they | person:Pronoun | had raised | raise | taxes | tax | 
they | they | person:Pronoun | had raised taxes in | raise tax in | the last year | year | time_period:WordNet,time_unit:Stanford
they | they | person:Pronoun | increased | increase | fees and other charges | fee | 
57 percent | percent | percent:Stanford | increased | increase | fees and other charges | fee | 
they | they | person:Pronoun | expected to raise | expect to raise | taxes | tax | 
they | they | person:Pronoun | to raise | to raise | taxes | tax | 
37 percent of the city officials | official | person:WordNet | predicted of | predict of | they | they | person:Pronoun
55 percent | percent | percent:Stanford | predicted of | predict of | they | they | person:Pronoun
they | they | person:Pronoun | would have to increase | to increase | fees | fee | 
they | they | person:Pronoun | to increase | to increase | fees | fee | 
they | they | person:Pronoun | had cut | cut | taxes | tax | 
they | they | person:Pronoun | had cut taxes in | cut tax in | 1986 | 1986 | time_unit:Stanford,number:NUM
the program | program |  | began in | begin in | 1972 | 1972 | time_unit:Stanford,number:NUM
revenue sharing | sharing |  | was | be | the favorite Federal program of local officials | program | 
revenue sharing | sharing |  | was the favorite Federal program of | be Federal program of | local officials | official | person:WordNet
the money | money |  | came with | come with | no strings attached | string | 
Big cities | city | location:WordNet | got | get | a lift and small-town America | lift | activity:WordNet
the first time | time |  | be received direct aid from | be receive aid from | Washington | Washington | location:Stanford
Mr. Rafuse of the Treasury Department | Mr. Rafuse | person:Stanford | were ''credited with | be ''credit with | the benefits | benefit | 
Federal officials | official | person:WordNet | were ''getting | be ''gett | the heat | heat | 
Federal officials | official | person:WordNet | discussed | discuss | ways to prepare for the shock | way | 
municipal officials | official | person:WordNet | discussed | discuss | ways to prepare for the shock | way | 
Catherine L. Spain | Catherine L. Spain | person:Stanford | be director of | be director of | the Federal Liaison Center of the Government Finance Officers Association | Federal Liaison Center | organization:Stanford
it | it |  | be a difficult time for | be time for | municipal financing | financing | 
We | We | person:Pronoun | 're hearing | be hear | a hue and cry | hue | 
The association which is based in Washington | association | organization:WordNet | is | be | a nonprofit education and lobbying group with 11,000 members from 4,000 jurisdictions . Early Wave of Belt | Belt | organization:Stanford
The association which is based in Washington | association | organization:WordNet | be Early Wave of | be Early Wave of | Belt | Belt | organization:Stanford
they | they | person:Pronoun | had already tightened | tighten | their belts | belt | 
they | they | person:Pronoun | had already tightened their belts contracting out | tighten belt contract out | anything | anything | 
they | they | person:Pronoun | had already tightened their belts contracting out anything from police protection to | tighten belt contract out anything from police protection to | public works | work | activity:WordNet
La Mirada | La Mirada | location:Stanford | reduced | reduce | its government | government | organization:WordNet
La Mirada | La Mirada | location:Stanford | reduced its government to | reduce government to | a shell | shell | 
Tampa | Tampa | location:Stanford,organization:Stanford | has reduced | reduce | its payroll | payroll | 
Tampa | Tampa | location:Stanford,organization:Stanford | has reduced its payroll by | reduce payroll by | 1,000 employees | 1,000 | number:NUM
New York City 's Sanitation Department | Sanitation Department | organization:Stanford | saves $ 52 million a year because of | save $ year because of | improvements | improvement | 
Los Angeles | Los Angeles | location:Stanford | has increased Hard-Hit Rural Areas | increase Hard-Hit Rural Areas | prosecutors ' caseloads | caseload | 
Los Angeles | Los Angeles | location:Stanford | has increased prosecutors ' caseloads | increase prosecutor ' caseload | Hard-Hit Rural Areas | Hard-Hit | 
Los Angeles | Los Angeles | location:Stanford | slashed | slash | cultural and recreational programs | program | 
Rural jurisdictions | jurisdiction |  | are in | be in | worse shape | shape | 
they | they | person:Pronoun | relied on | rely on | the program | program | 
they | they | person:Pronoun | relied for | rely for | a greater share of their general revenue | share | 
''It | ''It |  | 's | be | a hell of a crunch | hell | location:WordNet
''It | ''It |  | 's a hell of | be hell of | a crunch | crunch | 
Judge Floyd Frasure | Judge Floyd Frasure | person:Stanford | be chief executive officer of | be officer of | McCreary County | McCreary County | organization:Stanford
Judge Floyd Frasure | Judge Floyd Frasure | person:Stanford | be chief executive officer in | be officer in | McCreary County | McCreary County | organization:Stanford
McCreary County | McCreary County | organization:Stanford | collected 67.5 percent of its general budget from | collect percent of budget from | revenue sharing | sharing | 
They | They | person:Pronoun | 've already had | have | layoffs | layoff | 
the state | state | location:WordNet | had already had take over | take over | operations | operation | 
the state | state | location:WordNet | had already had take over operations in | take over operation in | several neighboring counties whose budgets were running deficits | county | location:WordNet
whose budgets | budget |  | were running | be run | deficits | deficit | 
McCreary | McCreary | organization:Stanford,person:Stanford | would reduce | reduce | garbage pickups | pickup | 
McCreary | McCreary | organization:Stanford,person:Stanford | either cancel | cancel | its ambulance service | service | activity:WordNet
Beverly Nykwest | Beverly Nykwest | person:Stanford | be a spokesman for | be spokesman for | the National Association of Towns | National Association | organization:Stanford
counties | county | location:WordNet | to impose | to impose | a sales tax | tax | 
other states | state | location:WordNet | to follow | to follow | that example | example | 
The recent Federal income tax revisions | revision |  | eliminated | eliminate | the deduction | deduction | 
pressure | pressure |  | is already mounting to lower | be mount to lower | them | they | person:Pronoun
''It | ''It |  | 's forcing | be force | a whole rethinking of municipal finances | rethinking | 
a fire | fire |  | gutted | gut | the Houston home of Virginia Robinson | home | location:WordNet
Houston | Houston | location:Stanford | be home of | be home of | Virginia Robinson | Virginia Robinson | person:Stanford
she and her family | family | organization:WordNet | managed to save | manage to save | a few items | item | 
she and her family | family | organization:WordNet | to save | to save | a few items | item | 
the time | time |  | came to file | come to file | a claim | claim | 
the time | time |  | to file | to file | a claim | claim | 
it | it |  | to remember | to remember | everything that she had before the blaze | everything | 
We | We | person:Pronoun | miss | miss | things | thing | 
you | you | person:Pronoun | miss | miss | things | thing | 
a claims adjuster | adjuster | person:WordNet | working for | work for | an insurer | insurer | organization:WordNet
those items | item |  | were owned by | be own by | the policyholder | policyholder | person:WordNet
a room-by-room | room-by-room |  | be itemized list of | be itemize list of | possessions | possession | activity:WordNet
the claimed furniture | furniture |  | were on | be on | the premises | premise | 
appliances and other goods | appliance | device:WordNet | were on | be on | the premises | premise | 
